protein_id,symbol,description,entrez_id,ensembl,subcell_loc,passed_filter,protein_cluster,median_npeptides_quantification,prop_samples_expr
Q8WYJ6,37135,Septin-1,1731,ENSG00000180096,Cytoplasm,FALSE,NA,3,0.031746031746031744
Q96GW9,37316,"RecName: Full=Methionine--tRNA ligase, mitochondrial; EC=6.1.1.10; AltName: Full=Methionyl-tRNA synthetase 2; AltName: Full=Mitochondrial methionyl-tRNA synthetase; Short=MtMetRS; Flags: Precursor",92935,ENSG00000247626,Mitochondrion matrix,FALSE,NA,2,0.5714285714285714
Q15019,37500,Septin-2,4735,ENSG00000168385,Cytoplasm,TRUE,7,56,1
Q9UH03,37865,Neuronal-specific septin-3,55964,ENSG00000100167,Cytoplasm,FALSE,NA,1,0.25396825396825395
O43236,38231,Septin-4,5414,ENSG00000108387,Cytoplasm,FALSE,NA,1,0.1111111111111111
Q99719,38596,Septin-5,5413,ENSG00000184702,Cytoplasm,FALSE,NA,2,0.36507936507936506
Q14141,38961,Septin-6,23157,ENSG00000125354,Cytoplasm,TRUE,4,7,0.9841269841269841
Q16181,39326,Septin-7,989,ENSG00000122545,Cytoplasm,TRUE,7,44,1
Q92599,39692,Septin-8,23176,ENSG00000164402,Cytoplasm,TRUE,6,31,1
Q9UHD8,40057,Septin-9,10801,ENSG00000184640,"Cytoplasm, cytoskeleton",TRUE,8,70,1
Q9P0V9,40422,Septin-10,151011,ENSG00000186522,Cytoplasm,TRUE,7,27,1
Q9NVA2,40787,Septin-11,55752,ENSG00000138758,"Cytoplasm, cytoskeleton",TRUE,7,22,1
P04217,A1BG,RecName: Full=Alpha-1B-glycoprotein; AltName: Full=Alpha-1-B glycoprotein; Flags: Precursor,1,ENSG00000121410,Secreted,FALSE,NA,8,0.6349206349206349
Q9NQ94,A1CF,APOBEC1 complementation factor,29974,ENSG00000148584,Nucleus,FALSE,NA,1,0.015873015873015872
P01023,A2M,RecName: Full=Alpha-2-macroglobulin; Short=Alpha-2-M; AltName: Full=C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5; Flags: Precursor,2,ENSG00000175899,Secreted,TRUE,1,16,0.9841269841269841
A8K2U0,A2ML1,RecName: Full=Alpha-2-macroglobulin-like protein 1; AltName: Full=C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9; Flags: Precursor,144568,ENSG00000166535,Secreted,FALSE,NA,4,0.12698412698412698
U3KPV4,A3GALT2,"Alpha-1,3-galactosyltransferase 2",127550,ENSG00000184389,"Golgi apparatus, Golgi stack membrane",FALSE,NA,1,0
Q9NPC4,A4GALT,"RecName: Full=Lactosylceramide 4-alpha-galactosyltransferase; EC=2.4.1.228; AltName: Full=Alpha-1,4-N-acetylglucosaminyltransferase; AltName: Full=Alpha-1,4-galactosyltransferase; AltName: Full=Alpha4Gal-T1; AltName: Full=CD77 synthase; AltName: Full",53947,ENSG00000128274,Golgi apparatus membrane,FALSE,NA,1,0.015873015873015872
Q9NRG9,AAAS,RecName: Full=Aladin; AltName: Full=Adracalin,8086,ENSG00000094914,"Nucleus, nuclear pore complex",TRUE,3,12,1
Q86V21,AACS,RecName: Full=Acetoacetyl-CoA synthetase; EC=6.2.1.16; AltName: Full=Acyl-CoA synthetase family member 1; AltName: Full=Protein sur-5 homolog,65985,ENSG00000081760,"Cytoplasm, cytosol",TRUE,2,5,0.9365079365079365
P22760,AADAC,Arylacetamide deacetylase,13,ENSG00000114771,Endoplasmic reticulum membrane,FALSE,NA,3,0
Q5VUY2,AADACL4,Arylacetamide deacetylase-like 4,343066,ENSG00000204518,Membrane,FALSE,NA,1,0.015873015873015872
